id_match,match_number,stage,group,home_team,away_team,hot,hot_reason,home_score,away_score,match_status,start_utc,start_local,local_timezone,start_china,venue,city,country,source_page_url,api_url
400021466,56,First Stage,Group E,Ecuador,Germany,False,,,,1,2026-06-25T20:00:00+00:00,2026-06-25T16:00:00-04:00,America/New_York,2026-06-26T04:00:00+08:00,New York/New Jersey Stadium,New Jersey,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021471,57,First Stage,Group F,Japan,Sweden,True,High-attention team,,,1,2026-06-25T23:00:00+00:00,2026-06-25T18:00:00-05:00,America/Chicago,2026-06-26T07:00:00+08:00,Dallas Stadium,Dallas,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021473,58,First Stage,Group F,Tunisia,Netherlands,False,,,,1,2026-06-25T23:00:00+00:00,2026-06-25T18:00:00-05:00,America/Chicago,2026-06-26T07:00:00+08:00,Kansas City Stadium,Kansas City,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021459,59,First Stage,Group D,Türkiye,USA,True,Host nation match,,,1,2026-06-26T02:00:00+00:00,2026-06-25T19:00:00-07:00,America/Los_Angeles,2026-06-26T10:00:00+08:00,Los Angeles Stadium,Los Angeles,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021461,60,First Stage,Group D,Paraguay,Australia,False,,,,1,2026-06-26T02:00:00+00:00,2026-06-25T19:00:00-07:00,America/Los_Angeles,2026-06-26T10:00:00+08:00,San Francisco Bay Area Stadium,San Francisco Bay Area,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021489,61,First Stage,Group I,Norway,France,False,,,,1,2026-06-26T19:00:00+00:00,2026-06-26T15:00:00-04:00,America/New_York,2026-06-27T03:00:00+08:00,Boston Stadium,Boston,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021493,62,First Stage,Group I,Senegal,Iraq,False,,,,1,2026-06-26T19:00:00+00:00,2026-06-26T15:00:00-04:00,America/Toronto,2026-06-27T03:00:00+08:00,Toronto Stadium,Toronto,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021479,63,First Stage,Group G,Egypt,IR Iran,False,,,,1,2026-06-27T03:00:00+00:00,2026-06-26T20:00:00-07:00,America/Los_Angeles,2026-06-27T11:00:00+08:00,Seattle Stadium,Seattle,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021481,64,First Stage,Group G,New Zealand,Belgium,True,High-attention team,,,1,2026-06-27T03:00:00+00:00,2026-06-26T20:00:00-07:00,America/Vancouver,2026-06-27T11:00:00+08:00,BC Place Vancouver,Vancouver,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021485,65,First Stage,Group H,Cabo Verde,Saudi Arabia,False,,,,1,2026-06-27T00:00:00+00:00,2026-06-26T19:00:00-05:00,America/Chicago,2026-06-27T08:00:00+08:00,Houston Stadium,Houston,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
